"","soil_year","mod.q","rep.q","max.q","size","web","soil","year","q.norm"
"216","ns_2014",0.591360946745562,6,0.737041420118343,130,"ns_2014","ns",2014,0.802344251766218
"217","ns_2014",0.55396449704142,7,0.742366863905325,130,"ns_2014","ns",2014,0.746213932727563
"218","ns_2014",0.545325443786982,8,0.742603550295858,130,"ns_2014","ns",2014,0.734342629482072
"219","ns_2014",0.562544378698225,9,0.748402366863905,130,"ns_2014","ns",2014,0.751660341555977
"220","ns_2014",0.576863905325444,10,0.742840236686391,130,"ns_2014","ns",2014,0.776565238171101
"221","ns_2014",0.534156378600823,1,0.743593964334705,135,"ns_2014","ns",2014,0.718344155844156
"222","ns_2014",0.556049382716049,2,0.731632373113855,135,"ns_2014","ns",2014,0.76001199940003
"223","ns_2014",0.561920438957476,3,0.745240054869684,135,"ns_2014","ns",2014,0.754012663819762
"224","ns_2014",0.535308641975309,4,0.734156378600823,135,"ns_2014","ns",2014,0.72914798206278
"225","ns_2014",0.581508916323731,5,0.748861454046639,135,"ns_2014","ns",2014,0.776524032825322
"226","ns_2014",0.508916323731138,6,0.745788751714678,135,"ns_2014","ns",2014,0.682386698057681
"227","ns_2014",0.5440329218107,7,0.740301783264746,135,"ns_2014","ns",2014,0.734879928846724
"228","ns_2014",0.527901234567901,8,0.729657064471879,135,"ns_2014","ns",2014,0.723492254474357
"229","ns_2014",0.567736625514403,9,0.74721536351166,135,"ns_2014","ns",2014,0.759803201644882
"230","ns_2014",0.554842249657064,10,0.749300411522634,135,"ns_2014","ns",2014,0.740480374926772
"231","ns_2014",0.551938775510204,1,0.74469387755102,140,"ns_2014","ns",2014,0.741161962181419
"232","ns_2014",0.614948979591837,2,0.744183673469388,140,"ns_2014","ns",2014,0.826340326340326
"233","ns_2014",0.548673469387755,3,0.748979591836735,140,"ns_2014","ns",2014,0.732561307901907
"234","ns_2014",0.587602040816327,4,0.738265306122449,140,"ns_2014","ns",2014,0.795922598479613
"235","ns_2014",0.574489795918367,5,0.749795918367347,140,"ns_2014","ns",2014,0.76619488296135
"236","ns_2014",0.591632653061225,6,0.738979591836735,140,"ns_2014","ns",2014,0.80060756697045
